time	V_max	I_max
0	0	5
0.01	1.18	4.05
0.02	1.9	1.55
0.03	1.9	-1.55
0.04	1.18	-4.05
0.05	0	-5
0.06	-1.18	-4.05
0.07	-1.9	-1.55
0.08	-1.9	1.55
0.09	-1.18	4.05
0.1	0	5
0.11	1.18	4.05
0.12	1.9	1.55
0.13	1.9	-1.55
0.14	1.18	-4.05
0.15	0	-5
0.16	-1.18	-4.05
0.17	-1.9	-1.55
0.18	-1.9	1.55
0.19	-1.18	4.05
0.2	0	5
0.21	1.18	4.05
0.22	1.9	1.55
0.23	1.9	-1.55
0.24	1.18	-4.05
0.25	0	-5
0.26	-1.18	-4.05
0.27	-1.9	-1.55
0.28	-1.9	1.55
0.29	-1.18	4.05
0.3	0	5
0.31	1.18	4.05
0.32	1.9	1.55
0.33	1.9	-1.55
0.34	1.18	-4.05
0.35	0	-5
0.36	-1.18	-4.05
0.37	-1.9	-1.55
0.38	-1.9	1.55
0.39	-1.18	4.05
0.4	0	5
0.41	1.18	4.05
0.42	1.9	1.55
0.43	1.9	-1.55
0.44	1.18	-4.05
0.45	0	-5
0.46	-1.18	-4.05
0.47	-1.9	-1.55
0.48	-1.9	1.55
0.49	-1.18	4.05
0.5	0	5
0.51	1.18	4.05
0.52	1.9	1.55
0.53	1.9	-1.55
0.54	1.18	-4.05
0.55	0	-5
0.56	-1.18	-4.05
0.57	-1.9	-1.55
0.58	-1.9	1.55
0.59	-1.18	4.05
0.6	0	5
0.61	1.18	4.05
0.62	1.9	1.55
0.63	1.9	-1.55
0.64	1.18	-4.05
0.65	0	-5
0.66	-1.18	-4.05
0.67	-1.9	-1.55
0.68	-1.9	1.55
0.69	-1.18	4.05
0.7	0	5
0.71	1.18	4.05
0.72	1.9	1.55
0.73	1.9	-1.55
0.74	1.18	-4.05
0.75	0	-5
0.76	-1.18	-4.05
0.77	-1.9	-1.55
0.78	-1.9	1.55
0.79	-1.18	4.05
0.8	0	5
0.81	1.18	4.05
0.82	1.9	1.55
0.83	1.9	-1.55
0.84	1.18	-4.05
0.85	0	-5
0.86	-1.18	-4.05
0.87	-1.9	-1.55
0.88	-1.9	1.55
0.89	-1.18	4.05
0.9	0	5
0.91	1.18	4.05
0.92	1.9	1.55
0.93	1.9	-1.55
0.94	1.18	-4.05
0.95	0	-5
0.96	-1.18	-4.05
0.97	-1.9	-1.55
0.98	-1.9	1.55
0.99	-1.18	4.05
1	0	5
