Degree	Radian	sin_x	cos_xAsin_x_Bcos_x
0.00	0.00	0.00	3.00	3.00
1.00	0.02	0.49	3.00	3.49
2.00	0.03	-0.17	3.00	2.83
3.00	0.05	-0.43	3.00	2.56
4.00	0.07	0.32	2.99	3.31
5.00	0.09	0.32	2.99	3.31
6.00	0.10	-0.43	2.98	2.55
7.00	0.12	-0.17	2.98	2.81
8.00	0.14	0.49	2.97	3.46
9.00	0.16	0.00	2.96	2.96
10.00	0.17	-0.49	2.95	2.46
11.00	0.19	0.17	2.94	3.12
12.00	0.21	0.43	2.93	3.37
13.00	0.23	-0.32	2.92	2.60
14.00	0.24	-0.32	2.91	2.59
15.00	0.26	0.43	2.90	3.33
16.00	0.28	0.17	2.88	3.05
17.00	0.30	-0.49	2.87	2.38
18.00	0.31	-0.00	2.85	2.85
19.00	0.33	0.49	2.84	3.33
20.00	0.35	-0.17	2.82	2.65
21.00	0.37	-0.43	2.80	2.37
22.00	0.38	0.32	2.78	3.10
23.00	0.40	0.32	2.76	3.08
24.00	0.42	-0.43	2.74	2.31
25.00	0.44	-0.17	2.72	2.55
26.00	0.45	0.49	2.70	3.19
27.00	0.47	0.00	2.67	2.67
28.00	0.49	-0.49	2.65	2.16
29.00	0.51	0.17	2.62	2.79
30.00	0.52	0.43	2.60	3.03
31.00	0.54	-0.32	2.57	2.25
32.00	0.56	-0.32	2.54	2.22
33.00	0.58	0.43	2.52	2.95
34.00	0.59	0.17	2.49	2.66
35.00	0.61	-0.49	2.46	1.97
36.00	0.63	-0.00	2.43	2.43
37.00	0.65	0.49	2.40	2.89
38.00	0.66	-0.17	2.36	2.19
39.00	0.68	-0.43	2.33	1.90
40.00	0.70	0.32	2.30	2.62
41.00	0.72	0.32	2.26	2.59
42.00	0.73	-0.43	2.23	1.80
43.00	0.75	-0.17	2.19	2.02
44.00	0.77	0.49	2.16	2.65
45.00	0.79	-0.00	2.12	2.12
46.00	0.80	-0.49	2.08	1.59
47.00	0.82	0.17	2.05	2.22
48.00	0.84	0.43	2.01	2.44
49.00	0.86	-0.32	1.97	1.65
50.00	0.87	-0.32	1.93	1.61
51.00	0.89	0.43	1.89	2.32
52.00	0.91	0.17	1.85	2.02
53.00	0.93	-0.49	1.81	1.31
54.00	0.94	-0.00	1.76	1.76
55.00	0.96	0.49	1.72	2.21
56.00	0.98	-0.17	1.68	1.51
57.00	0.99	-0.43	1.63	1.20
58.00	1.01	0.32	1.59	1.91
59.00	1.03	0.32	1.55	1.87
60.00	1.05	-0.43	1.50	1.07
61.00	1.06	-0.17	1.45	1.28
62.00	1.08	0.49	1.41	1.90
63.00	1.10	0.00	1.36	1.36
64.00	1.12	-0.49	1.32	0.82
65.00	1.13	0.17	1.27	1.44
66.00	1.15	0.43	1.22	1.65
67.00	1.17	-0.32	1.17	0.85
68.00	1.19	-0.32	1.12	0.80
69.00	1.20	0.43	1.08	1.51
