Degree	Radian	sin_x	cos_xAsin_x_Bcos_x
0.00	0.00	0.00	1.00	3.00
1.00	0.02	0.02	1.00	3.02
2.00	0.03	0.05	1.00	3.05
3.00	0.05	0.07	1.00	3.07
4.00	0.07	0.10	1.00	3.08
5.00	0.09	0.12	0.99	3.10
6.00	0.10	0.15	0.99	3.11
7.00	0.12	0.17	0.99	3.13
8.00	0.14	0.20	0.98	3.14
9.00	0.16	0.22	0.98	3.15
10.00	0.17	0.24	0.97	3.15
11.00	0.19	0.27	0.96	3.16
12.00	0.21	0.29	0.96	3.16
13.00	0.23	0.32	0.95	3.16
14.00	0.24	0.34	0.94	3.16
15.00	0.26	0.36	0.93	3.16
16.00	0.28	0.38	0.92	3.15
17.00	0.30	0.41	0.91	3.15
18.00	0.31	0.43	0.90	3.14
19.00	0.33	0.45	0.89	3.13
20.00	0.35	0.47	0.88	3.12
21.00	0.37	0.50	0.87	3.10
22.00	0.38	0.52	0.86	3.09
23.00	0.40	0.54	0.84	3.07
24.00	0.42	0.56	0.83	3.05
25.00	0.44	0.58	0.82	3.03
26.00	0.45	0.60	0.80	3.00
27.00	0.47	0.62	0.79	2.98
28.00	0.49	0.64	0.77	2.95
29.00	0.51	0.66	0.75	2.92
30.00	0.52	0.67	0.74	2.89
31.00	0.54	0.69	0.72	2.86
32.00	0.56	0.71	0.70	2.82
33.00	0.58	0.73	0.69	2.79
34.00	0.59	0.74	0.67	2.75
35.00	0.61	0.76	0.65	2.71
36.00	0.63	0.78	0.63	2.67
37.00	0.65	0.79	0.61	2.63
38.00	0.66	0.81	0.59	2.58
39.00	0.68	0.82	0.57	2.53
40.00	0.70	0.83	0.55	2.49
41.00	0.72	0.85	0.53	2.44
42.00	0.73	0.86	0.51	2.39
43.00	0.75	0.87	0.49	2.34
44.00	0.77	0.88	0.47	2.28
45.00	0.79	0.90	0.44	2.23
46.00	0.80	0.91	0.42	2.17
47.00	0.82	0.92	0.40	2.11
48.00	0.84	0.93	0.38	2.06
49.00	0.86	0.94	0.35	2.00
50.00	0.87	0.94	0.33	1.93
51.00	0.89	0.95	0.31	1.87
52.00	0.91	0.96	0.28	1.81
53.00	0.93	0.97	0.26	1.74
54.00	0.94	0.97	0.24	1.68
55.00	0.96	0.98	0.21	1.61
56.00	0.98	0.98	0.19	1.54
57.00	0.99	0.99	0.16	1.48
58.00	1.01	0.99	0.14	1.41
59.00	1.03	0.99	0.11	1.34
60.00	1.05	1.00	0.09	1.27
61.00	1.06	1.00	0.07	1.19
62.00	1.08	1.00	0.04	1.12
63.00	1.10	1.00	0.02	1.05
64.00	1.12	1.00	-0.01	0.97
65.00	1.13	1.00	-0.03	0.90
66.00	1.15	1.00	-0.06	0.82
67.00	1.17	1.00	-0.08	0.75
68.00	1.19	0.99	-0.11	0.67
69.00	1.20	0.99	-0.13	0.60
70.00	1.22	0.99	-0.16	0.52
71.00	1.24	0.98	-0.18	0.44
72.00	1.26	0.98	-0.20	0.36
73.00	1.27	0.97	-0.23	0.29
74.00	1.29	0.97	-0.25	0.21
75.00	1.31	0.96	-0.28	0.13
76.00	1.33	0.95	-0.30	0.05
77.00	1.34	0.95	-0.32	-0.03
78.00	1.36	0.94	-0.35	-0.10
79.00	1.38	0.93	-0.37	-0.18
80.00	1.40	0.92	-0.39	-0.26
81.00	1.41	0.91	-0.42	-0.34
82.00	1.43	0.90	-0.44	-0.41
83.00	1.45	0.89	-0.46	-0.49
84.00	1.47	0.88	-0.48	-0.57
85.00	1.48	0.86	-0.50	-0.65
86.00	1.50	0.85	-0.52	-0.72
87.00	1.52	0.84	-0.55	-0.80
88.00	1.54	0.82	-0.57	-0.87
89.00	1.55	0.81	-0.59	-0.95
90.00	1.57	0.80	-0.61	-1.02
91.00	1.59	0.78	-0.63	-1.09
92.00	1.61	0.76	-0.64	-1.17
93.00	1.62	0.75	-0.66	-1.24
94.00	1.64	0.73	-0.68	-1.31
95.00	1.66	0.72	-0.70	-1.38
96.00	1.68	0.70	-0.72	-1.45
97.00	1.69	0.68	-0.73	-1.52
98.00	1.71	0.66	-0.75	-1.59
99.00	1.73	0.64	-0.77	-1.66
100.00	1.75	0.62	-0.78	-1.72
101.00	1.76	0.60	-0.80	-1.79
102.00	1.78	0.58	-0.81	-1.85
103.00	1.80	0.56	-0.83	-1.91
104.00	1.82	0.54	-0.84	-1.97
105.00	1.83	0.52	-0.85	-2.04
106.00	1.85	0.50	-0.87	-2.09
107.00	1.87	0.48	-0.88	-2.15
108.00	1.88	0.46	-0.89	-2.21
109.00	1.90	0.44	-0.90	-2.26
110.00	1.92	0.41	-0.91	-2.32
111.00	1.94	0.39	-0.92	-2.37
112.00	1.95	0.37	-0.93	-2.42
113.00	1.97	0.35	-0.94	-2.47
114.00	1.99	0.32	-0.95	-2.52
115.00	2.01	0.30	-0.95	-2.56
116.00	2.02	0.27	-0.96	-2.61
117.00	2.04	0.25	-0.97	-2.65
118.00	2.06	0.23	-0.97	-2.69
119.00	2.08	0.20	-0.98	-2.73
120.00	2.09	0.18	-0.98	-2.77
121.00	2.11	0.15	-0.99	-2.81
122.00	2.13	0.13	-0.99	-2.84
123.00	2.15	0.11	-0.99	-2.88
124.00	2.16	0.08	-1.00	-2.91
125.00	2.18	0.06	-1.00	-2.94
126.00	2.20	0.03	-1.00	-2.97
127.00	2.22	0.01	-1.00	-2.99
128.00	2.23	-0.02	-1.00	-3.02
129.00	2.25	-0.04	-1.00	-3.04
130.00	2.27	-0.07	-1.00	-3.06
131.00	2.29	-0.09	-1.00	-3.08
132.00	2.30	-0.12	-0.99	-3.10
133.00	2.32	-0.14	-0.99	-3.11
134.00	2.34	-0.17	-0.99	-3.12
135.00	2.36	-0.19	-0.98	-3.14
136.00	2.37	-0.21	-0.98	-3.14
137.00	2.39	-0.24	-0.97	-3.15
138.00	2.41	-0.26	-0.97	-3.16
139.00	2.43	-0.29	-0.96	-3.16
140.00	2.44	-0.31	-0.95	-3.16
141.00	2.46	-0.33	-0.94	-3.16
142.00	2.48	-0.36	-0.93	-3.16
143.00	2.50	-0.38	-0.93	-3.16
144.00	2.51	-0.40	-0.92	-3.15
145.00	2.53	-0.42	-0.91	-3.14
146.00	2.55	-0.45	-0.90	-3.13
147.00	2.57	-0.47	-0.88	-3.12
148.00	2.58	-0.49	-0.87	-3.11
149.00	2.60	-0.51	-0.86	-3.09
150.00	2.62	-0.53	-0.85	-3.07
151.00	2.64	-0.55	-0.83	-3.05
152.00	2.65	-0.57	-0.82	-3.03
